Year,Payout,Area Multiplier,Directionality Bonus,Shape Complexity,Memory Zone Multiplier,Distance (m),Direct Hit
2011,10000,1.47,1.15,0.43,1.3,0.0,True
2012,8755.68,1.43,1.15,0.56,1.22,1246.75,False
2013,2.1,1.0,1.0,0.4,1.13,38378.2,False
2014,39.25,1.0,1.05,0.43,1.28,24960.82,False
2015,3.84,1.0,1.0,0.37,1.12,34925.34,False
2016,118.98,1.0,1.05,0.97,1.27,23443.86,False
2017,870.09,1.26,1.13,0.38,1.23,10172.5,False
2018,273.32,1.08,1.0,0.69,1.19,17397.72,False
2019,130.73,1.07,1.12,0.44,1.21,19439.07,False
2020,9.51,1.0,1.0,0.36,1.12,30247.88,False
